BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
6,,ieee-89,"Lauritzen, J. N.; &#x00C5, E.; rsand; Vuurden, K. Van; Bellika, J. G.; Hejlesen, O. K. & Hartvig-sen, G.",Towards a mobile solution for predicting illness in Type 1 Diabetes Mellitus: Development of a prediction model for detecting risk of illness in Type 1 Diabetes prior to symptom onset,,,,,,2011,,,,"Wireless Communication, Vehicular Technology, Information Theory and Aerospace & Electronic Systems Technology (Wireless VITAE), 2011 2nd International Conference on",,,,,"Illness in Type 1 Diabetes Mellitus (T1DM) patients makes it complicated to perform sufficient self-care, resulting in prolonged episodes of hyperglycemia and fluctuating blood glucose (BG) concentrations. Prolonged episodes of hyperglycemia elevate the risk of the patient developing diabetic complications, which makes infections such as common cold, influenza and influenza like illness more harmful for T1DM patients than the normal population. TTL, NST and AAU are researching a method of predicting illness in T1DM patients, using patient observable parameters. Daily BG measurements are identified as a relevant patient observable parameter, due to early rise when infected and elevated HbA<sub>1C</sub> during illness. A Smartphone based system is developed that allows patients to monitor BG concentrations and report symptoms of illness and illness. Data gathered by patients through use of this device, will be used to test the hypothesis that changes in daily BG measurements can be used to predict illness in T1DM patients, before symptoms onset. A successful prediction model will enable patients to get early indication of upcoming illness, before they are bedridden. Patients can thus actively take precautions to avoid or shorten illness episodes or make these less severe and/or have healthy BG concentrations during illness. This project is breaking new grounds by detecting illness before the onset of symptoms and illness, and an illness prediction model using patient observable parameters will be an important advance in the field of disease surveillance and prediction."
6,,ieee-72,"Skevofilakas, M.; Zarkogianni, K.; Karamanos, B. G. & Nikita, K. S.",A hybrid Decision Support System for the risk assessment of retinopathy development as a long term complication of Type 1 Diabetes Mellitus,,,,,,2010,,,,2010 Annual International Conference of the IEEE Engineering in Medicine and Biology,,,,,"The aim of the present study is to design and develop a Decision Support System (DSS) closely coupled with an Electronic Medical Record (EMR), able to predict the risk of a Type 1 Diabetes Mellitus (T1DM) patient to develop retinopathy. The proposed system is able to store a wealth of information regarding the clinical state of the T1DM patient and continuously provide the health experts with predictions regarding the possible future complications that he may present. The DSS is a hybrid infrastructure combining a Feedforward Neural Network (FNN), a Classification and Regression Tree (CART) and a Rule Induction C5.0 classifier, with an improved Hybrid Wavelet Neural Network (iHWNN). A voting mechanism is utilized to merge the results from the four classification models. The proposed DSS has been trained and evaluated using data from 55 T1DM patients, acquired by the Athens Hippokration Hospital in close collaboration with the EURODIAB research team. The DSS has shown an excellent performance resulting in an accuracy of 98%. Care has been taken to design and implement a consistent and continuously evolving Information Technology (IT) system by utilizing technologies such as smart agents periodically triggered to retrain the DSS with new cases added in the data repository."
6,978-1-4503-0194-7,Ilango:2010:HPM:1858378.1858391,"Ilango, B. Sarojini & Ramaraj, N.",A Hybrid Prediction Model with F-score Feature Selection for Type II Diabetes Databases,,,,,13:1--13:4,2010,"New York, NY, USA",,http://doi.acm.org/10.1145/1858378.1858391,Proceedings of the 1st Amrita ACM-W Celebration on Women in Computing in India,,,A2CWiC '10,,
6,,ieee-118,"Chernetsov, S.; Emelyanov, A. & Karpenko, A.",Research of neural network-based blood glucose level forecasting systems for insulin-dependant diabetes patients,,,,,,2009,,,,"Wearable Micro and Nano Technologies for Personalized Health (pHealth), 2009 6th International Workshop on",,,,,"This paper documents the results of the research involving neural network-based blood glucose level forecasting systems for insulin-dependent diabetes patients. Forecast is made for continuous subcutaneous insulin injections and continuous subcutaneous glucose measurements. Elman, layer-recurrent, and NARX network architectures were considered in the research. The influence of the network architecture, the number of neurons, the training algorithm and the tapped delay line on the forecast precision were investigated. The research is part of the optimal insulin dose determination algorithm creation work, which can complement the insulin pump and continuous glucose monitoring system to a closed-loop system that will perform artificial pancreas functions. The research resulted in the determination of the optimal neural network architecture that allowed obtaining the necessary forecast precision for the short-range predictions."
6,,ieee-126,"Karahoca, A.; Karahoca, D. & Kara, A.",Diagnosis of diabetes by using adaptive neuro fuzzy inference systems,,,,,,2009,,,,"Soft Computing, Computing with Words and Perceptions in System Analysis, Decision and Control, 2009. ICSCCW 2009. Fifth International Conference on",,,,,"Most of discoveries indicate that the best way to overcome diabetes is to prevent the risks of diabetes before becoming a diabetic. With this opinion, we would like to find a way to estimate diabetes risk, according to some variables such as age, total cholesterol, gender or shape of the body. Due to having fuzzy input and output (glucose rate) values and because of that dependent variable have more than 2 values (unlike binary logic), ANFIS and Multinomial Logistic Regression should be executed for comparison. Then the results were benchmarked. As a result, in case of that there is a system which contains fuzzy inputs and output, ANFIS gives better results than Multinomial Logistic Regression for diabetes diagnosis."
6,,ieee-123,"Sharifi, A.; Vosolipour, A.; Sh, M. Aliyari & Teshnehlab, M.",Hierarchical Takagi-Sugeno type fuzzy system for diabetes mellitus forecasting,,,,,,2008,,,,2008 International Conference on Machine Learning and Cybernetics,,,,,"In this study, a new group method of data handling (GMDH) method, based on adaptive neurofuzzy inference system (ANFIS) structure, called ANFIS-GMDH and its application for diabetes mellitus forecasting is presented. Conventional neurofuzzy GMDH (NF-GMDH) uses radial basis network (RBF) as the partial descriptions. In this study the RBF partial descriptions are replaced with two input ANFIS structures and backpropagation algorithm is chosen for learning this network structure. The Prima Indians diabetes data set is used as training and testing sets which consist of 768 data whereby 268 of them are diagnosed with diabetes. The result of this study will provide solutions to the medical staff in determining whether someone is the diabetes sufferer or not which is much easier rather than currently doing a blood test. The results show that the proposed method performs better than the other models such as multi layer perceptron (MLP), RBF and ANFIS structure."
6,,ieee-62,"Stahl, F. & Johansson, R.",Short-term diabetes blood glucose prediction based on blood glucose measurements,,,,,,2008,,,,2008 30th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,,,,"Insulin Dependent Diabetes Mellitus (IDDM) is a chronic disease characterized by the inability of the pancreas to produce sufficient amounts of insulin. Daily compensation of the deficiency requires 4--6 insulin injections to be taken daily, the aim of this insulin therapy being to maintain normoglycemia--- i.e., a blood glucose level between 4--7 mmol/L. To determine the quantity and timing of these injections, various different approaches are used. Currently, mostly qualitative and semi-quantitative models and reasoning are used to design such a therapy. Here, an attempt is made to show how system identification and control may be used to estimate predictive quantitative models to be used in design of optimal insulin regimens. The system was divided into three subsystems, the insulin subsystem, the glucose subsystem and the insulin-glucose interaction. The insulin subsystem aims to describe the absorbtion of injected insulin from the subcutaneous depots and the glucose subsystem the absorbtion of glucose from the gut following a meal. These subsystems were modeled using compartment models and proposed models found in the literature. Several black-box models and grey-box models describing the insulin/glucose interaction were developed and analysed. These models were fitted to real data monitored by a IDDM patient. Many difficulties were encountered, typical of biomedical systems: Non-uniform and scarce sampling, time-varying dynamics and severe nonlinearities were some of the difficulties encountered during the modeling. None of the proposed models were able to describe the system accurately in all aspects during all conditions. However, all the linear models shared some dynamics. Based on the estimated models, short-term blood glucose predictors for up to two-hour-ahead blood glucose prediction were investigated."
6,,ieee-7,"Han, J.; Rodriguez, J. C. & Beheshti, M.",Diabetes Data Analysis and Prediction Model Discovery Using RapidMiner,,,,,,2008,,,,2008 Second International Conference on Future Generation Communication and Networking,,,,,"Data mining techniques have been extensively applied in bioinformatics to analyze biomedical data. In this paper, we choose the Rapid-I{\^A}Îès RapidMiner as our tool to analyze a Pima Indians Diabetes Data Set, which collects the information of patients with and without developing diabetes. The discussion follows the data mining process. The focus will be on the data preprocessing, including attribute identification and selection, outlier removal, data normalization and numerical discretization, visual data analysis, hidden relationships discovery, and a diabetes prediction model construction."
6,,ieee-90,"Khan, N.; Ikejiaku, C. A. & Rahman, S.",Prediction of type II MODY3 diabetes using backpercolation,,,,,,2005,,,,18th IEEE Symposium on Computer-Based Medical Systems (CBMS'05),,,,,"In this study, a neural network based approach is used to predict the presence of Maturity Onset Diabetes type 3, referred as MODY3 type II diabetes mellitus. The study has used backpercolation neural network algorithm to predict the specific genetic mutation that causes the MODY3 type II diabetes mellitus. A set of coded numeric values are assigned for numeric representation of genetic data that are available in public domain repositories. A point mutation is introduced in a portion of the nucleotide for the mutation prediction to train the data set. The study has demonstrated that backpercolation neural network algorithm is useful to train and to predict gene point mutation that leads to MODY3 type II diabetes."
6,,ieee-60,"Iokibe, T.; Yoneda, M. & Kakita, K.",Chaos based blood glucose prediction and insulin adjustment for diabetes mellitus,,,,,,2003,,,,"Biomedical Engineering, 2003. IEEE EMBS Asian-Pacific Conference on",,,,,"Many diabetes mellitus (DM) patients are concerned about unstable blood glucose, even with regular monitoring by a family doctor. The insulin preparation shows peak action at several hours after subcutaneous administration. For this reason, unstable blood glucose is often caused by intensive insulin therapy with self-monitored blood glucose (SMBG). The insulin requirement is determined in proportion to fasting blood glucose (FBG) in the sliding scale method. A fixed amount of insulin is administered regardless of FBG level in the constant insulin method. It is indispensable to estimate FBG at peak time, when insulin works the hardest, to obtain the appropriate effect of insulin administration. We employed the local fuzzy reconstruction method based on chaos theory for predicting FBG at peak time. The direction to change the FBG at peak time is predicted with a 70-90% success rate. The amount of insulin administration is adjusted based on predicted FBG level. After predictive glycemic control (PGC) for around one year, the FBG average approached the normal range, standard deviation (SD) reduced by half, and hyperglycemia decreased."
7,,ISI:000087467400008,"Hernando, M. E.; Gomez, E. J.; Corocy, R. & del Pozo, F.","Evaluation of DIABNET, a decision support system for therapy planning in gestational diabetes",{COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE},{62},{3},{JUL},{235-248},2000,,"{34th Meeting of the European-Association-for-the-Study-of-Diabetes, BARCELONA, SPAIN, SEP 08-12, 1998}",,,,,,,"{DIABNET is a knowledge-based system designed to aid doctors with therapy    planning in gestational diabetes. The system core is a qualitative    model, implemented by a Causal Probabilistic Network, that is able to    detect the insulin effectiveness on a daily basis. DIABNET analyses    monitoring data and proposes quantitative changes in insulin therapy and    qualitative diet modifications. This paper proposes an evaluation    methodology to assess the system performance when working in a real    scenario. The methodology manages the absence of a gold standard and    includes. a subjective analysis based on questionnaires and an objective    analysis based on a quantitative comparison of the system's and experts'    proposals. The paper also shows the results of two experiments in which    expert diabetologists evaluated the therapeutical advice provided by    DIABNET during the follow up of 9 patients with gestational diabetes.    DIABNET detected the need of a therapy modification in 92\% of the cases    showing its appropriateness for automatic alarm generation. Around 80\%    of the proposals were accepted by experts. The evaluation results are    encouraging and allow characterisation of the system's performance when    proposing therapy modifications. Evaluation in its turn helps to refine    the knowledge managed by DIABNET and enables us to look towards the    further clinical use of DIABNET as a decision tool in gestational    diabetes integrated in a telemedicine service. (C) 2000 Elsevier Science    Ireland Ltd. All rights reserved.}"
7,,ISI:000172512900004,"Park, J. & Edington, D. W.",A sequential neural network model for diabetes prediction,{ARTIFICIAL INTELLIGENCE IN MEDICINE},{23},{3},{NOV},{277-293},2001,,,,,,,,,"{This paper presents a neural network (NN) model to evaluate an existing    Health Risk Appraisal (HRA)(2) for diabetes prediction over 3 years    (1996-1998) based on a simulated learning algorithm on individual    prognostic process, using the repeatedly measured HRAs of 6142    participants.    The approach uses a sequential multi-layered perceptron (SMLP) with    backpropagation learning, and an explicit model of time-varying inputs    along with the sequentially obtained prediction probability, which was    obtained by embedding a multivariate logistic function for consecutive    years.    The study captures the time-sensitive feature of associating risk    factors as predictors to the occurrence of diabetes in the corresponding    period. This approach outperforms the baseline classification and    regression models in terms of gains (average profit: 0.18) and    sensitivity (86.04\%) for a test data.    The result enables a time-sensitive disease prevention and management    program as a prospective effort. (C) 2001 Elsevier Science B.V. All    rights reserved.}"
6,{1-58603-279-8},ISI:000178928400053,"Pruna, S.; Stanciu, E.; Macarie, A.; Pruna, A. & Ionescu-Tirgoviste, C.",A networked electronic patient record system for diabetes,,{90},,,{282-287},2002,,"{17th International Conference of the European-Federation-of-Medical-Informatics (MIE 2002), BUDAPEST, HUNGARY, AUG 25-29, 2002}",,{HEALTH DATA IN THE INFORMATION SOCIETY},,,{STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS},"Surjan, G; Engelbrecht, R & McNair, P","{This paper describes the development and clinical implementation of the    SincroDiab - a synchronized diabetes register for the routine clinical    practice in a LAN and for design of long-term trials and epidemiological    studies based on the GEHR (Good European Health Record) architecture.    The objectives of the SincroDiab system were to address the need to    establish a more efficient and more effective information infrastructure    to improve the ability to share patient record information among health    care providers, to reduce the health care delivery costs, to meet the    requirements of legal, regulatory or accreditation standards, to share    comparable patients data among different sites within a multi-entity    health care delivery system and to improve quality of care by network    connecting the data repository to clinical workstations and departmental    systems.}"
6,{1-58603-279-8},ISI:000178928400156,"Fox, M. A.; Harman-Boehm, I.; Weitzman, S. & Zelingher, J.",A framework for a diabetes mellitus disease management system in southern Israel,,{90},,,{821-825},2002,,"{17th International Conference of the European-Federation-of-Medical-Informatics (MIE 2002), BUDAPEST, HUNGARY, AUG 25-29, 2002}",,{HEALTH DATA IN THE INFORMATION SOCIETY},,,{STUDIES IN HEALTH TECHNOLOGY AND INFORMATICS},"Surjan, G; Engelbrecht, R & McNair, P","{Chronic diseases are a significant burden on western healthcare systems    and national economies. It has been suggested that automated disease    management for chronic disease, like diabetes mellitus (DM), improves    the quality of care and reduces inappropriate utilization of diagnostic    and therapeutic measures. We have designed a comprehensive DM Disease    Management system for the Negev region in southern Israel. This system    takes advantage of currently used clinical and administrative    information systems. Algorithms for DM disease management have been    created based on existing and accepted Israeli guidelines. All data    fields and tables in the source information systems have been analyzed,    and interfaces for periodic data loads from these systems have been    specified. Based on this data, four subsets of decision support    algorithms have been developed. The system generates alerts in these    domains to multiple end users. We plan to use the products of this    information system analysis and disease management specification in the    actual development process of such a system shortly.}"
6,{0-7803-7612-9},ISI:000180194800104,"Schlotthauer, G.; Nicolini, G. A.; Gamero, L. G. & Torres, M. E.","Type I diabetes: Modeling, identification and non-linear model predictive control",,,,,{226-227},2002,,"{24th Annual International Conference of the Engineering-in-Medicine-and-Biology-Society/Annual Fall Meeting of the Biomedical-Engineering-Society (EMBS 2002 BMES), HOUSTON, TX, OCT 23-26, 2002}",,"{SECOND JOINT EMBS-BMES CONFERENCE 2002, VOLS 1-3, CONFERENCE PROCEEDINGS: BIOENGINEERING - INTEGRATIVE METHODOLOGIES, NEW TECHNOLOGIES}",,,{PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY},,"{Patients with Diabetic Type I nearly always need a therapy with insulin.    The most desirable treatment would be to mimic the operation of a normal    pancreas. In this work we model a patient affected with this pathology,    identify it with a neural network, and evaluate a control strategy known    as Nonlinear Model Predictive Control as an approach to command an    insulin pump using the subcutaneous route.}"
6,{0-08-044159-9},ISI:000189389800090,"Baxter, T. D.; Tennant, M. L.; Mareels, I. M. Y. & Santoso, L.",A single predictor model for onset of type 1 diabetes mellitus,,,,,{491-494},2003,,"{5th IFAC Symposium on Modelling and Control in Biomedical Systems, MELBOURNE, AUSTRALIA, AUG 21-23, 2003}",,{MODELLING AND CONTROL IN BIOMEDICAL SYSTEMS 2003 (INCLUDING BIOLOGICAL SYSTEMS)},,,{IFAC SYMPOSIA SERIES},"Feng, D & Carson, ER","{Accurately predicting the onset of type 1 diabetes mellitus increase the    probability of success of preventative treatments. We develop a    predictive model for time to diabetes, given the results of screening    tests performed on people with diabetic first degree relative. This    model employs one of the six possible markers, and gives a normal    distribution of the time to diabetes, predicting the likelihood of a    person developing diabetes by a certain time.}"
7,,ISI:000209187200003,"Wells, Brian J.; Roth, Rachel; Nowacki, Amy S.; Arrigain, Susana; Yu, Changhong; Rosenkrans, Jr., Wayne A. & Kattan, Michael W.",Prediction of morbidity and mortality in patients with type 2 diabetes,{PEERJ},{1},,{JUN 11},,2013,,,,,,,,,"{Introduction. The objective of this study was to create a tool that    accurately predicts the risk of morbidity and mortality in patients with    type 2 diabetes according to an oral hypoglycemic agent.    Materials and Methods. The model was based on a cohort of 33,067    patients with type 2 diabetes who were prescribed a single oral    hypoglycemic agent at the Cleveland Clinic between 1998 and 2006.    Competing risk regression models were created for coronary heart disease    (CHD), heart failure, and stroke, while a Cox regression model was    created for mortality. Propensity scores were used to account for    possible treatment bias. A prediction tool was created and internally    validated using tenfold cross-validation. The results were compared to a    Framingham model and a model based on the United Kingdom Prospective    Diabetes Study (UKPDS) for CHD and stroke, respectively.    Results and Discussion. Median follow-up for the mortality outcome was    769 days. The numbers of patients experiencing events were as follows:    CHD (3062), heart failure (1408), stroke (1451), and mortality (3661).    The prediction tools demonstrated the following concordance indices    (c-statistics) for the specific outcomes: CHD (0.730), heart failure    (0.753), stroke (0.688), and mortality (0.719). The prediction tool was    superior to the Framingham model at predicting CHD and was at least as    accurate as the UKPDS model at predicting stroke.    Conclusions. We created an accurate tool for predicting the risk of    stroke, coronary heart disease, heart failure, and death in patients    with type 2 diabetes. The calculator is available online at    http://rcalc.ccf.org under the heading ``Type 2 Diabetes{''} and    entitled, ``Predicting 5-Year Morbidity and Mortality.{''} This may be a    valuable tool to aid the clinician's choice of an oral hypoglycemic, to    better inform patients, and to motivate dialogue between physician and    patient.}"
7,,ISI:000223556600011,"Hovorka, R.; Canonico, V.; Chassin, L. J.; Haueter, U.; Massi-Benedetti, M.; Federici, M. O.; Pieber, T. R.; Schaller, H. C.; Schaupp, L.; Vering, T. & Wilinska, M. E.",Nonlinear model predictive control of glucose concentration in subjects with type 1 diabetes,{PHYSIOLOGICAL MEASUREMENT},{25},{4},{AUG},{905-920},2004,,"{World Congress on Medical Physics and Biomedical Engineering, Sydney, AUSTRALIA, AUG, 2003}",,,,,,,"{A nonlinear model predictive controller has been developed to maintain    normoglycemia in subjects with type 1 diabetes during fasting conditions    such as during overnight fast. The controller employs a compartment    model, which represents the glucoregulatory system and includes    submodels representing absorption of subcutaneously administered    short-acting insulin Lispro and gut absorption. The controller uses    Bayesian parameter estimation to determine time-varying model    parameters. Moving target trajectory facilitates slow, controlled    normalization of elevated glucose levels and faster normalization of low    glucose values. The predictive capabilities of the model have been    evaluated using data from 15 clinical experiments in subjects with type    1 diabetes. The experiments employed intravenous glucose sampling (every    15 min) and subcutaneous infusion of insulin Lispro by insulin pump    (modified also every 15 min). The model gave glucose predictions with a    mean square error proportionally related to the prediction horizon with    the value of 0.2 mmol L-1 per 15 min. The assessment of clinical utility    of model-based glucose predictions using Clarke error grid analysis gave    95\% of values in zone A and the remaining 5\% of values in zone B for    glucose predictions up to 60 min (n = 1674). In conclusion, adaptive    nonlinear model predictive control is promising for the control of    glucose concentration during fasting conditions in subjects with type 1    diabetes.}"
6,{3-540-23927-8},ISI:000226097900016,"Huang, Y.; McCullagh, P.; Black, N. & Harper, R.",Evaluation of outcome prediction for a clinical diabetes database,,{3303},,,{181-190},2004,,"{International Symposium on Knowledge Exploration in Life Science Informatics, Milan, ITALY, NOV 25-26, 2004}",,"{KNOWLEDGE EXPLORATION IN LIFE SCIENCE INFORMATICS, PROCEEDINGS}",,,{Lecture Notes in Artificial Intelligence},"Lopez, JA; Benfenati, E & Dubitzky, W","{Diabetes is a metabolic disorder which can be greatly affected by    lifestyle. The disease cannot be cured but can be controlled, which will    minimize the complications such as heart disease, stroke and blindness.    Clinicians routinely collect large amounts of information on diabetic    patients as part of their day to day management for control of the    disease. We investigate the potential for data mining in order to spot    trends in the data and attempt to predict outcome. Feature selection has    been used to improve the efficiency of the data mining algorithms and    identify the contribution of different features to diabetes control    status prediction. Decision trees can provide classification accuracy    over 78\%. However, while most bad control cases (90\%) can be correctly    classified, at least 50\% of good control cases will be misclassified,    which means that current feature selection and prediction models    illustrate some potential but need additional refinement.}"
6,{3-540-26164-8},ISI:000230301200007,"Gao, J.; Denzinger, J. & James, R. C.",A cooperative multi-agent data mining model and its application to medical data on diabetes,,{3505},,,{93-107},2005,,"{International Workshop on Autonomous Intelligent Systems - Agents and Data Mining (AIS-ADM 2005), St Petersburg, RUSSIA, JUN 06-08, 2005}",,"{AUTONOMOUS INTELLIGENT SYSTEMS: AGENTS AND DATA MINING, PROCEEDINGS}",,,{LECTURE NOTES IN COMPUTER SCIENCE},"Gorodetsky, V; Liu, J & Skormin, VA","{We present CoLe, a model for cooperative agents for mining knowledge    from heterogeneous data. CoLe allows for the cooperation of different    mining agents and the combination of the mined knowledge into knowledge    structures that no individual mining agent can produce alone. CoLe    organizes the work in rounds so that knowledge discovered by one mining    agent can help others in the next round. We implemented a multi-agent    system based on CoLe for mining diabetes data, including an agent using    a genetic algorithm for mining event sequences, an agent with    improvements to the PART algorithm for our problem and a combination    agent with methods to produce hybrid rules containing conjunctive and    sequence conditions. In our experiments, the CoLe-based system    outperformed the individual mining algorithms, with better rules and    more rules of a certain quality. From the medical perspective, our    system confirmed hypertension has a tight relation to diabetes, and it    also suggested connections new to medical doctors.}"
7,,ISI:000230452000007,"Zheng, Y. Z. & Zhao, M.",Modified minimal model using a single-step fitting process for the intravenous glucose tolerance test in Type 2 diabetes and healthy humans,{COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE},{79},{1},{JUL},{73-79},2005,,,,,,,,,"{The classical minimal model with single compartment was modified by the    assumption that the insulin decay rate is not always a first-order    process, and a mathematical function for describing the insulin infusion    rate is introduced. The modified model was used to study four sets of    published data including healthy humans and Type 2 diabetes with    different types of insulin infusion rates. The single-step fitting    process took the glucose-insulin system as a dynamic integrated    physiological system and generated the real optimized model parameters    from the experimental data using the modified model. It also avoided the    errors from the interpolation or extrapolation for taking measured    insulin points as inputs, which were mostly employed in publications    when using the single or multi-compartments minimal model. The averaged    R-2 value between measured and calculated plasma concentrations for    these four cases is 0.977, which indicates excellent agreement. (C) 2005    Elsevier Ireland Ltd. All rights reserved.}"
6,{0-7695-2355-2},ISI:000230987800065,"Khan, N.; Ikejiaku, C. A. & Rahman, S.",Prediction of type II MODY3 diabetes using backpercolation,,,,,{401-403},2005,,"{18th IEEE Symposium on Computer-Based Medical Systems, Dublin, IRELAND, JUN 23-24, 2005}",,"{18th IEEE Symposium on Computer-Based Medical Systems, Proceedings}",,,{COMPUTER-BASED MEDICAL SYSTEMS : PROCEEDINGS OF THE ANNUAL IEEE SYMPOSIUM},,"{In this study, a neural network based approach is used to predict the    presence of Maturity Onset Diabetes type 3, referred as MODY3 Type II    diabetes mellitus. The study has used backoercolation neural network    algorithm to predict the specific genetic mutation that causes the MODY3    type H diabetes mellitus. A set of coded numeric values are assigned for    numeric representation of genetic data that are available in public    domain repositories. A point mutation is introduced in a portion of the    nucleotide for the mutation prediction to train the data set. The study    has demonstrated that backpercolation neural network algorithm is useful    to train and to predict gene point mutation that leads to MODY3 type H    diabetes.}"
6,{978-1-4244-0032-4},ISI:000247284706204,"Mougiakakou, Stavroula G.; Prountzou, Aikaterini; Iliopoulou, Dimitra; Nikita, Konstantina S.; Vazeou, Andriani & Bartsocas, Christos S.",Neural network based glucose - Insulin metabolism models for children with type I diabetes,,,,,{5912-5915},2006,,"{28th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society, New York, NY, AUG 30-SEP 03, 2006}",,"{2006 28th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vols 1-15}",,,,,"{In this paper two models for the simulation of glucose-insulin    metabolism of children with Type 1 diabetes are presented. The models    are based on the combined use of Compartmental Models (CMs) and    artificial Neural Networks (N-Ns). Data from children with Type 1    diabetes, stored in a database, have been used as input to the models.    The data are taken from four children with Type 1 diabetes and contain    information about glucose levels taken from continuous glucose    monitoring system, insulin intake and food intake, along with    corresponding time. The influences of taken insulin on plasma insulin    concentration, as well as the effect of food intake on glucose input    into the blood from the gut, are estimated from the CMs. The outputs of    CMs, along with previous glucose measurements, are fed to a NN, which    provides short-term prediction of glucose values. For comparative    reasons two different NN architectures have been tested: a Feed-Forward    NN (FFNN) trained with the back-propagation algorithm with adaptive    learning rate and momentum, and a Recurrent NN (RNN), trained with the    Real Time Recurrent Learning (RTR-L) algorithm. The results indicate    that the best prediction performance can be achieved by the use of RNN.}"
7,,ISI:000250295300048,"Polat, Kemal; Guenes, Salih & Arslan, Ahmet",A cascade learning system for classification of diabetes disease: Generalized discriminant analysis and least square support vector machine,{EXPERT SYSTEMS WITH APPLICATIONS},{34},{1},{JAN},{482-487},2008,,,,,,,,,"{The aim of this study is to diagnosis of diabetes disease, which is one    of the most important diseases in medical field using Generalized    Discriminant Analysis (GDA) and Least Square Support Vector Machine    (LS-SVM). Also, we proposed a new cascade learning system based on    Generalized Discriminant Analysis and Least Square Support Vector    Machine. The proposed system consists of two stages. The first stage, we    have used Generalized Discriminant Analysis to discriminant feature    variables between healthy and patient (diabetes) data as pre-processing    process. The second stage, we have used LS-SVM in order to    classification of diabetes dataset. While LS-SVM obtained 78.21\%    classification accuracy using 10-fold cross validation, the proposed    system called GDA-LS-SVM obtained 82.05\% classification accuracy using    10-fold cross validation. The robustness of the proposed system is    examined using classification accuracy, k-fold cross-validation method    and confusion matrix. The obtained classification accuracy is 82.05\%    and it is very promising compared to the previously reported    classification techniques. (c) 2006 Elsevier Ltd. All rights reserved.}"
6,{978-3-540-36839-7},ISI:000260855900114,"Wang, H. C.; Yang, P. C. & Hu, L. C.",Learner Behavior Prediction for Diabetes Health Education Based on Sequence Learning Algorithm,,{14},{1-6},,{464-465},2007,,"{World Congress on Medical Physics and Biomedical Engineering, Seoul, SOUTH KOREA, AUG 27-SEP 01, 2006}",,"{WORLD CONGRESS ON MEDICAL PHYSICS AND BIOMEDICAL ENGINEERING 2006, VOL 14, PTS 1-6}",,,{IFMBE Proceedings},"Kim, SI & Suh, TS","{Patients suffer from chronic disease have cost considerable social and    medical expanse, it is necessary to provide them with health education    both on the prevention and treatment of chronic diseases. Nowadays,    digital learning platform is an excellent channel for convey multimedia    enriched content to the people. This research builds a web-based    diabetes health education platform and conduct further study on the    learner behaviors in this platform. The proposed digital learning    platform can log, analyze, predicate, and retrieve the learner behavior.    The learner behavior sequence is logged and then analyzed using a    sequence learning algorithm. When a new learner enter the platform, it    is possible to predict the intention of the learner and thus provide the    interested content to him immediately. The proposed architecture had    been tested on the diabetes health education for 150 people. The    experimental result showed that users were satisfied with the platform    and the learning effect improved significantly. With the encouraging    results, it will be feasible to apply proposed methodology to other    learning courses for a better achievement of popular health.}"
6,{978-1-4244-1814-5},ISI:000262404500074,"Stahl, F. & Johansson, R.",Short-Term Diabetes Blood Glucose Prediction Based On Blood Glucose Measurements,,,,,{291-294},2008,,"{30th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society, Vancouver, CANADA, AUG 20-24, 2008",,"2008 30th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vols 1-8}",,,{IEEE Engineering in Medicine and Biology Society Conference Proceedings},,"{Insulin Dependent Diabetes Mellitus; (IDDM) is a chronic disease    characterized by the inability of the pancreas to produce sufficient    amounts of Insulin. Daily compensation of the deficiency requires 4-6    insulin injections to be taken daily, the aim of this insulin therapy    being to maintain normoglycemia-i.e., a blood glucose level between 4-7    mmol/L. To determine the quantity and timing of these Injections,    various different approaches are used. Currently, mostly qualitative and    semi-quantitative models and reasoning are used to design such a    therapy. Here, an attempt Is made to show how system identification and    control may be used to estimate predictive quantitative models to be    used in design of optimal insulin regimens.    The system was divided into three subsystems, the insulin subsystem, the    glucose subsystem and the insulin-glucose interaction. The Insulin    subsystem aims to describe the absorbtion of injected insulin from the    subcutaneous depots and the glucose subsystem the absorbtion of glucose    from the gut following a meal. These subsystems were modeled using    compartment models and proposed models found in the literature. Several    black-box modets and grey-box models describing the insulin/glucose    Interaction were developed and analysed. These models were fitted to    real data monitored by a IDDM patient. Many difficulties were    encountered, typical of biomedical systems: Non-uniform and scarce    sampling, time-varying dynamics and severe nonlinearities were some of    the difficulties encountered during the modeling. None of the proposed    models were able to describe the system accurately In all aspects during    all conditions. However, all the linear models shared some dynamics.    Based on the estimated models, short-term blood glucose predictors for    up to two-hour-ahead blood glucose prediction were investigated.}"
