Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Custom1
ISI:000230452000007,"Zheng, Y. Z. & Zhao, M.",Modified minimal model using a single-step fitting process for the intravenous glucose tolerance test in Type 2 diabetes and healthy humans,{COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE},{79},{1},{JUL},{73-79},2005,,,,,,,,,"{The classical minimal model with single compartment was modified by the    assumption that the insulin decay rate is not always a first-order    process, and a mathematical function for describing the insulin infusion    rate is introduced. The modified model was used to study four sets of    published data including healthy humans and Type 2 diabetes with    different types of insulin infusion rates. The single-step fitting    process took the glucose-insulin system as a dynamic integrated    physiological system and generated the real optimized model parameters    from the experimental data using the modified model. It also avoided the    errors from the interpolation or extrapolation for taking measured    insulin points as inputs, which were mostly employed in publications    when using the single or multi-compartments minimal model. The averaged    R-2 value between measured and calculated plasma concentrations for    these four cases is 0.977, which indicates excellent agreement. (C) 2005    Elsevier Ireland Ltd. All rights reserved.}"
ISI:000230987800065,"Khan, N.; Ikejiaku, C. A. & Rahman, S.",Prediction of type II MODY3 diabetes using backpercolation,,,,,{401-403},2005,,"{18th IEEE Symposium on Computer-Based Medical Systems, Dublin, IRELAND, JUN 23-24, 2005}",,"{18th IEEE Symposium on Computer-Based Medical Systems, Proceedings}",,,{COMPUTER-BASED MEDICAL SYSTEMS : PROCEEDINGS OF THE ANNUAL IEEE SYMPOSIUM},,"{In this study, a neural network based approach is used to predict the    presence of Maturity Onset Diabetes type 3, referred as MODY3 Type II    diabetes mellitus. The study has used backoercolation neural network    algorithm to predict the specific genetic mutation that causes the MODY3    type H diabetes mellitus. A set of coded numeric values are assigned for    numeric representation of genetic data that are available in public    domain repositories. A point mutation is introduced in a portion of the    nucleotide for the mutation prediction to train the data set. The study    has demonstrated that backpercolation neural network algorithm is useful    to train and to predict gene point mutation that leads to MODY3 type H    diabetes.}"
ISI:000231317000046,"Wang, J.; Yoshida, T.; Nakaki, F.; Hiai, H.; Okazaki, T. & Honjo, T.",Establishment of NOD-Pdcd1(-/-) mice as an efficient animal model of type I diabetes,{PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA},{102},{33},{AUG 16},{11823-11828},2005,,,,,,,,,"{Mice deficient in programmed cell death 1 (PD-1, Pdcd1), an    immunoinhibitory receptor belonging to the CD28/cytotoxic T    lymphocyte-associated antigen-4 family, spontaneously develop lupus-like    autoimmune disease and autoimmune dilated cardiomyopathy on C57BL/6 and    BALB/c backgrounds, respectively. However, how PD-1 deficiency induces    different forms of autoimmune diseases on these two strains was unknown.    Here, we report that PD-1 deficiency specifically accelerates the onset    and frequency of type I diabetes in NOD (nonobese diabetic) mice, with    strong T helper 1 polarization of T cells infiltrating into islets.    These results suggest that PD-1 deficiency accelerates autoimmune    predisposition of the background strain, leading to the induction of    different forms of autoimmune diseases depending on the genetic    background of the strain. Using NOD-Pdcd1(-/-) mice as an efficient    animal model of type I diabetes, we screened diabetes-susceptible loci    by genetic linkage analysis. The diabetic incidence of NOD-Pdcd1(-/-)    mice was controlled by five genetic loci, including three known    recessive loci {[}Idd (insulin-dependent diabetes) 1, Idd17, and Idd20]    and two previously unidentified dominant loci {[}Iddp (Idd under PD-1    deficiency) 1 and Iddp2].}"
ISI:000231831000068,"Kuznetsova, L.; Plesneva, S.; Shpakov, A. & Pertseva, M.",Relaxin adenylyl cyclase system of pregnant women with diabetes - Functional defects in insulin and relaxin adenylyl cyclase signaling systems in myometrium of pregnant women with type 1 diabetes,,{1041},,,{446-448},2005,,"{4th International Conference on Relaxin and Related Peptides, Moran, WY, SEP, 2004}",,{RELAXIN AND RELATED PEPTIDES: FOURTH INTERNATIONAL CONFERENCE},,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Sherwood, OD; Fields, PA & Steinetz, BG","{The study was conducted to reveal the functional disturbances in two    novel insulin and relaxin adenylyl cyclase signaling mechanisms (ACSMs).    It was shown for the first time that in myometrium of pregnant women    with insulin insufficiency the functional defects of Gs-protein-AC    coupling in insulin- and relaxin H2-regulated AC systems were developed.    As a result, the sensitivity of the signaling systems to both hormones    and potentiation of their AC effects by guanine nucleotides were    markedly decreased compared with that in control group. These functional    defects in ACSM may lead to violation of the process of insulin and    relaxin signal transduction.}"
ISI:000235090100015,"Barma, P.; Dey, D.; Basu, D.; Roy, S. S. & Bhattacharya, S.",Nutritionally induced insulin resistance in an Indian perch: a possible model for type 2 diabetes,{CURRENT SCIENCE},{90},{2},{JAN 25},{188-194},2006,,,,,,,,,"{We have developed nutritionally induced, insulin-resistant Indian perch,    Anabas testudineus, a freshwater teleost which showed all the    characteristics found in type 2 diabetes mellitus. Free fatty acids    (FFAs) are known to be the major players in implementing insulin    resistance and type 2 diabetes mellitus, an epidemic disease threatening    global health. Prolong feeding of a FFA, palmitic acid, to perch induced    hyperinsulinaemia, hyperglycaemia, loss of insulin sensitivity and    increase in glycosylated haemoglobin (HbA(1C)). Skeletal muscle cells    from FFA-treated perch showed defects in insulin signalling molecules    suggesting its link to the impairment of insulin action, a situation    similar to that found in insulin-resistant mammalian species and human    beings. Results indicate that this nutritionally induced    insulin-resistant perch could be a convenient animal model to examine    the potential of therapeutic compounds, addressing the problems of    insulin resistance and type 2 diabetes.}"
ISI:000237189500010,"Maree, A. F. M.; Kublik, R.; Finegood, D. T. & Edelstein-Keshet, L.",Modelling the onset of Type 1 diabetes: can impaired macrophage phagocytosis make the difference between health and disease?,{PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES},{364},{1842},{MAY 15},{1267-1282},2006,,,,,,,,,"{A wave of apoptosis (programmed cell death) occurs normally in    pancreatic beta-cclls of newborn mice. We previously showed that    macrophages from non-obese diabetic (NOD) mice become activated more    slowly and engulf apoptotic cells at a lower rate than macrophages from    control (Balb/c) mice. It has been hypothesized that this low clearance    could result in secondary necrosis, escalating inflammation and    self-antigen presentation that later triggers autoimmune, Type 1    diabetes (TID). We here investigate whether this hypothesis could offer    a reasonable and parsimonious explanation for onset of T1D in NOD mice.    We quantify variants of the Copenhagen model (Freiesleben De Blasio et    al. 1999 Diabetes 48, 1677), based on parameters from NOD and Balb/c    experimental data. We show that the original Copenhagen model fails to    explain observed phenomena within a reasonable range of parameter    values, predicting an unrealistic-or-none disease occurrence for both    strains. However, if we take into account that, in general, activated    macrophages produce harmful cytokines only when engulfing necrotic (but    not apoptotic) cells, then the revised model becomes qualitatively and    quantitatively reasonable. Further, we show that known differences    between NOD and Balb/c mouse macrophage kinetics are large enough to    account for the fact that an apoptotic wave can trigger escalating    inflammatory response in NOD, but not Balb/c mice. In Balb/c mice,    macrophages clear the apoptotic wave so efficiently, that chronic    inflammation is prevented.}"
ISI:000238998400077,"Mougiakakou, S. G.; Prountzou, K. & Nikita, K. S.",A real time simulation model of glucose-insulin metabolism for type I diabetes patients,,,,,{298-301},2005,,"{27th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society, Shanghai, PEOPLES R CHINA, AUG 31-SEP 03, 2005}",,"{2005 27TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-7}",,,{PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY},,"{In this paper, a simulation model of glucose-insulin metabolism for Type    1 diabetes patients is presented. The proposed system is based on the    combination of Compartmental Models (CMs) and artificial Neural Networks    (NNs). This model alms at the development of an accurate system, in    order to assist Type 1 diabetes patients to handle their blood glucose    profile and recognize dangerous metabolic states. Data from a Type 1    diabetes patient, stored in a database, have been used as input to the    hybrid system. The data contain information about measured blood glucose    levels, insulin intake, and description of food intake, along with the    corresponding time. The data are passed to three separate CMs, which    produce estimations about (i) the effect of Short Acting (SA) insulin    intake on blood insulin concentration, (ii) the effect of Intermediate    Acting (IA) insulin intake on blood insulin concentration, and (iii) the    effect of carbohydrate intake on blood glucose absorption from the gut.    The outputs of the three CMs are passed to a Recurrent NN (RNN) in order    to predict subsequent blood glucose levels. The RNN is trained with the    Real Time Recurrent Learning (RTRL) algorithm. The resulted blood    glucose predictions are promising for the use of the proposed model for    blood glucose level estimation for Type 1 diabetes patients.}"
ISI:000238998403105,"Park, Kyung-Soon; Kim, Nam-Jin; Hong, Ju-Hyan; Park, Mi-Sook; Cha, Eun-Jong & Lee, Tae-Soo",PDA based point-of-care personal diabetes management system,,,,,{3749-3752},2005,,"{27th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society, Shanghai, PEOPLES R CHINA, AUG 31-SEP 03, 2005}",,"{2005 27th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Vols 1-7}",,,{PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY},,"{Diabetes is an incurable chronic disease with the prevalence high in    developed countries. The number of patients in Korea is also on a steady    increase. Patients have to self-manage their blood glucose level by    daily test and insulin injection. Therefore, it is very important to    assist them in self-management procedure. In this study, PDA(Personal    Digital Assistant) based PDMS(Personal Diabetes Management System) was    developed in the integrated environment of Visual Studio NET 2003, which    consisted of four main menus to manage personal information, diet,    exercise, and blood glucose. It gives quantitative health indices, such    as BMI(Body Mass Index) and diabetes index, based on personal physical    information, pedigree, and living habits. In addition, it is capable of    predicting change of the body weight, which may remind patients of the    importance of the disease management. The present system can be used as    a mobile device within the tele-healthcare system integrated with    medical center through internet.}"
ISI:000239263400003,"Dua, Pinky; Doyle, III, Francis J. & Pistikopoulos, Efstratios N.",Model-based blood glucose control for Type 1 diabetes via parametric programming,{IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING},{53},{8},{AUG},{1478-1491},2006,,,,,,,,,"{An advanced model-based control technique for regulating the blood    glucose for patients with Type 1 diabetes is presented. The optimal    insulin delivery rate is obtained off-line as an explicit function of    the current blood glucose concentration of the patient by using novel    parametric programming algorithms, developed at Imperial College London.    The implementation of the optimal insulin delivery rate, therefore,    requires simple function evaluation and minimal on-line computations.    The proposed framework also addresses the uncertainty in the model due    to interpatient and intrapatient variability by identifying the model    parameters which ensure that a feasible control law can be obtained. The    developments reported in this paper are expected to simplify the insulin    delivery mechanism, thereby enhancing the quality of life of the    patient.}"
ISI:000239519000193,"Fernandez-Luque, L.; Sevillano, J. L.; Hurtado-Nunez, F. J.; Moriana-Garcia, F. J.; Diaz-del-Rio, F. & Cascado, D.","eDiab: A system for monitoring, assisting and educating people with diabetes",,{4061},,,{1342-1349},2006,,"{10th International Conference on Computers Helping People with Special Needs, Linz, AUSTRIA, JUL 11-13, 2006}",,"{COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS, PROCEEDINGS}",,,{Lecture Notes in Computer Science},"Miesenberger, K; Klaus, J; Zagler, W & Karshmer, A","{In this paper, a system developed for monitoring, assisting and    educating people with diabetes, named eDiab, is described. A central    node (PDA or mobile phone) is used at the patient's side for the    transmission of medical information, health advices, alarms, reminders,    etc. The software is adapted to blind users by using a screen reader    called Mobile Speak Pocket/Phone. The glucose sensor is connected to the    central node through wireless links (Zigbee/Bluetooth) and the    communication between the central node and the server is established    with a GPRS/GSM connection. Finally, a subsystem for health education    (which sends medical information and advice like treatment reminder),    still under development, is briefly described.}"
ISI:000239784000016,"Izworski, Andrzej; Koleszynska, Joanna; Tadeusiewicz, Ryszard; Bulka, Jaroslaw & Wochlik, Ireneusz",Gigisim (glucose-insulin and Glycemic Index web simulator) - The online system supporting diabetes therapy,,,,,{80-83},2005,,"{IASTED International Conference on Telehealth, Banff, CANADA, JUL 19-21, 2005}",,{Proceedings of the IASTED International Conference on TELEHEALTH},,,,"Jennett, P & Rangayyan, RM","{In the paper an open access internet based computer system has been    described, visualizing the patient's postprandial plasma glucose (PPG),    determined from an adaptive simulation model of pancreas gland. In the    insulin-dependent diabetes, which requires continual insulin dosing, it    is necessary to coordinate the meal time with the drug injection. In the    insulin-independent diabetes, if it has been diagnosed early enough, a    properly composed diet may be a sufficient form of therapy. In both    cases the visualization of the plasma glucose level, correlated with the    nutrition equivalent of the recent meals, may be helpful in limiting the    invasive procedures or assist in proper choice of the diet. At the same    time the results of such a simulation may be used by persons fighting    obesity, as a direct help in distinguishing between physiological hunger    and the abnormal one, resulting from excessive variations of glucose and    insulin levels in blood. One of the intermediate goals of the present    paper was the introduction of proper modifications to the existing model    of the dynamic glucose-insulin dependence, in order to enable the    prediction of PPG levels for both healthy and ill persons, based on the    last meal time and its nutrition rate determined by the Glycemic Index    (GI). Additionally the model has been enhanced to take into account    individual parameters (adaptiveness), which may affect the simulation    results. A simplified version of the application may be implemented in    portable devices like palmtops or mobile phones.}"
ISI:000239998200051,"Oezcan, Umut; Yilmaz, Erkan; Oezcan, Lale; Furuhashi, Masato; Vaillancourt, Eric; Smith, Ross O.; Goerguen, Cem Z. & Hotamisligil, Goekhan S.",Chemical chaperones reduce ER stress and restore glucose homeostasis in a mouse model of type 2 diabetes,{SCIENCE},{313},{5790},{AUG 25},{1137-1140},2006,,,,,,,,,"{Endoplasmic reticulum ( ER) stress is a key link between obesity,    insulin resistance, and type 2 diabetes. Here, we provide evidence that    this mechanistic link can be exploited for therapeutic purposes with    orally active chemical chaperones. 4-Phenyl butyric acid and    taurine-conjugated ursodeoxycholic acid alleviated ER stress in cells    and whole animals. Treatment of obese and diabetic mice with these    compounds resulted in normalization of hyperglycemia, restoration of    systemic insulin sensitivity, resolution of fatty liver disease, and    enhancement of insulin action in liver, muscle, and adipose tissues. Our    results demonstrate that chemical chaperones enhance the adaptive    capacity of the ER and act as potent antidiabetic modalities with    potential application in the treatment of type 2 diabetes.}"
ISI:000240082100006,"Wong, X. W.; Chase, J. G.; Shaw, G. M.; Hann, C. E.; Lotz, T.; Lin, J.; Singh-Levett, I.; Hollingsworth, L. J.; Wong, O. S. W. & Andreassen, S.",Model predictive glycaemic regulation in critical illness using insulin and nutrition input: A pilot study,{MEDICAL ENGINEERING \& PHYSICS},{28},{7},{SEP},{665-681},2006,,,,,,,,,"{Stress-induced hyperglycaemia is prevalent in intensive care, impairing    the immune response. Nutritional support regimes with high glucose    content further exacerbate the problem. Tight glucose control has been    shown to reduce mortality by up to 43\% if levels are kept below 6.1    mmol/L. This research develops a control algorithm with insulin and    nutritional inputs for targeted glucose control in the critically ill.    Ethics approval for this research was granted by the Canterbury Ethics    Committee. Proof-of-concept clinical pilot trials were conducted on    intubated, insulin-dependent Christchurch ICU patients (n=7) on constant    nutritional support. A target 10-15\% reduction in glucose level per    hour for a desired glucose level of 4-6 mmol/L was set. 43\% and 91 \%    of glucose targets were achieved within +/- 5 and +/- 20\%,    respectively. The mean error was 8.9\% (0.5 mmol/L), with an absolute    range {[}0, 2.9] mmol/L. End glucose levels were 40\% lower compared to    initial values. All large target errors are attributable to sudden    changes in patient physiology at low glucose values, rather than    systemic deficiencies. Target errors are consistent with and explainable    by published sensor error distributions. The results show that intensive    model-based glucose management with nutrition control reduced absolute    glucose levels progressively while reducing the severity of glycaemic    fluctuation even with significant inter-patient variability and    time-varying physiological condition. Trials spanning longer periods of    time are in development to verify the short-term pilot studies performed    and to test the adaptability of the controller. Clinically, these    results indicate potential in clinical use to reduce ICU mortality as    well as reduce risk of severe complications. (c) 2005 IPEM. Published by    Elsevier Ltd. All rights reserved.}"
ISI:000240724000052,"Wahab, A.; Kong, Y. K. & Quek, C.",Model reference adaptive control on glucose for the treatment of diabetes Mellitus,,,,,{315-320},2006,,"{19th IEEE Symposium on Computer-Based Medical Systems, Salt Lake City, UT, JUN 22-23, 2006}",,"{19TH IEEE INTERNATIONAL SYMPOSIUM ON COMPUTER-BASED MEDICAL SYSTEMS, PROCEEDINGS}",,,{COMPUTER-BASED MEDICAL SYSTEMS : PROCEEDINGS OF THE ANNUAL IEEE SYMPOSIUM},"Lee, DJ; Nutter, B; Antani, S; Mitra, S & Archibald, J",{Diabetes mellitus is one of the top five killer among both man and woman    world wide. Type I diabetes is caused by the failure to produce    sufficient insulin which leads to an uncontrolled increase in blood    glucose. Prolong elevated glucose level of above 150-160mg/dl poses    significant health risk with possible long lasting effect. Human    assisted insulin injection through compartmental model schedules are    basically open loop system. This paper attempts to close the loop by    employing model reference adaptive control on a controller to adaptively    control the glucose level of the patient via an infusion pump.    Simulation results show the potential of using fuzzy type controllers    for finer regulation and its practical applications.}
ISI:000243126100003,"Pinkse, Gabrielle G. M.; Boitard, Christian; Tree, Timothy I. M.; Peakman, Mark & Roep, Bart O.",HLA class I epitope discovery in type 1 diabetes - Independent and reproducible identification of proinsulin epitopes of CD8 T cells - Report of the IDS T Cell Workshop Committee,,{1079},,,{19-23},2006,,"{8th Meeting of the Immunology-of-Diabetes-Society, Awaji Isl, JAPAN, OCT 06-09, 2005}",,{IMMUNOLOGY OF DIABETES IV: PROGRESS IN OUR UNDERSTANDING},,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Sanjeevi, CB & Hanafusa, T","{Islet autoreactive CD8 T cells are plausible candidates for direct beta    cell toxicity in type I diabetes (T1DM). In 2005, cellular studies in    the pathogenesis of this disease have reached a new milestone.    Autoreactive CD8 T cells have been defined and several target islet    epitopes of these have been discovered and validated simultaneously in    three independent studies. The insulin B10-B18 peptide that displays    exceptional binding affinity for HLA-A2 has been reported in all three    studies, and its recognition shows an association with autoimmune beta    cell destruction and T1DM. These studies imply that CD8 T cell-based HLA    tetramers and ELISPOT analyses can be useful to monitor T1DM as well as    islet transplantation, and may provide useful tools to assess    immunological efficacy of immune intervention trials.}"
ISI:000243126100030,"van Endert, Peter; Hassainya, Yousra; Lindo, Vivian; Bach, Jean-Marie; Blancou, Philippe; Lemonnier, Francois & Mallone, Roberto",HLA class I epitope discovery in type 1 diabetes,,{1079},,,{190-197},2006,,"{8th Meeting of the Immunology-of-Diabetes-Society, Awaji Isl, JAPAN, OCT 06-09, 2005}",,{IMMUNOLOGY OF DIABETES IV: PROGRESS IN OUR UNDERSTANDING},,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Sanjeevi, CB & Hanafusa, T","{Type I diabetes mellitus (T1DM) results from the destruction of beta    cells by autoantigen-specific T cells. In the non-obese diabetic (NOD)    mouse model, CD8(+) T cells play an essential role in both the initial    triggering of insulitis and its destructive phase, and proinsulin (PI)    is one of the dominant target antigens (Ags). However, little is known    about the beta cell epitopes presented by HLA class I molecules and    recognized by human CD8+ T cells. We and other groups recently applied    reverse immunology approaches to identify HLA class I-restricted PI    epitopes. To establish an inventory of potential naturally processed    epitopes, whole human PI or the transitional region between the B-chain    and C-peptide were digested with purified proteasome complexes. By    combining proteasome digestion data with epitope prediction algorithms,    candidate epitopes restricted by HLA-A2.1 and other HLA class I    molecules were identified. We validated immunogenicity and natural    processing of the identified PI epitopes in HLA-A2.1-transgenic mice,    while others demonstrated recognition of multiple PI epitopes by CD8+ T    cells from T1DM and healthy subjects in the context of different HLA    class I molecules. These results demonstrate the power of reverse    immunology strategies for epitope discovery. DNA vaccination of    HLA-transgenic mice may be another rapid and efficient reverse    immunology approach to map additional epitopes derived from other T1DM    Ags, such as IA-2 and glutamic acid decarboxylase 65 (GAD 65). Transfer    of this information to Elispot- and MHC tetramer-based assay formats    should allow to reliably detect and characterize autoreactive CD8+ T    cell responses in T1DM, and may open new avenues for early T1DM    diagnosis and immune intervention.}"
ISI:000243126100046,"Rassi, Diane M.; Junta, Cristina M.; Fachin, Ana L.; Sandrin-Garcia, Paula; Mello, Stephano S.; Fernandes, Ana P. M.; Deghaide, Neife N. H. S.; Foss-Freitas, Maria C.; Foss, Milton C.; Sakamoto-Hojo, Elza T.; Passos, Geraldo A. S. & Donadi, Eduardo A.",Is HLA class II profile relevant for the study of large-scale differentially expressed genes in type I diabetes mellitus patients?,,{1079},,,{305-309},2006,,"{8th Meeting of the Immunology-of-Diabetes-Society, Awaji Isl, JAPAN, OCT 06-09, 2005}",,{IMMUNOLOGY OF DIABETES IV: PROGRESS IN OUR UNDERSTANDING},,,{Annals of the New York Academy of Sciences},"Sanjeevi, CB & Hanafusa, T","{We have previously identified 30 differentially expressed genes when    comparing recently diagnosed type I diabetes mellitus (DM-1) patients    and controls paired for sex, age, and ethnic background. In this article    we performed the hierarchical clustering of these genes taking into    account the human-leukocyte-antigen (HLA)-DRB1/DQB1 profile. The    dendrogram obtained using the Cluster program grouped patients and    controls into three clusters, one including individuals with no    susceptibility alleles, another including individuals with at least    three susceptibility alleles, and a third intermingling    susceptibility/protective alleles. In addition to other variables, the    results of the present article suggest that the major histocompatibility    complex (MHC) class II profile may be of relevance for the study of a    large-scale differentially expressed genes.}"
ISI:000243126100055,"Lyungberg, Martin; Korpela, Riita; Ilonen, Jorma; Ludvigsson, Johnny & Vaapala, Outi",Probiotics for the prevention of beta cell autoimmunity in children at genetic risk of type 1 diabetes- the PRODIA study,,{1079},,,{360-364},2006,,"{8th Meeting of the Immunology-of-Diabetes-Society, Awaji Isl, JAPAN, OCT 06-09, 2005}",,{IMMUNOLOGY OF DIABETES IV: PROGRESS IN OUR UNDERSTANDING},,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Sanjeevi, CB & Hanafusa, T","{The final aim of the PRODIA study is to determine whether the use of    probiotics during the first 6 months of life decreases the appearance of    type 1 diabetes mellitus (T1DM)-associated autoantibodies in children    with genetic risk for T1DM. A pilot study including 200 subjects was    planned to show whether the use of probiotics during the first 6 months    of life is safe and feasible. The prevalence of autoantibodies among the    study subjects at 6, 12, and 24 months of age was at levels close to the    expected and the clinical follow-up did not either indicate problems in    the feasibility of the study.}"
ISI:000243126100057,"Young, Daniel L.; Ramanujan, Saroja; Kreuwel, Huub T. C.; Whiting, Chan Chung; Gadkar, Kapil G. & Shoda, Lisl K. M.",Mechanisms mediating anti-CD3 antibody efficacy - Insights from a mathematical model of type 1 diabetes,,{1079},,,{369-373},2006,,"{8th Meeting of the Immunology-of-Diabetes-Society, Awaji Isl, JAPAN, OCT 06-09, 2005}",,{IMMUNOLOGY OF DIABETES IV: PROGRESS IN OUR UNDERSTANDING},,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Sanjeevi, CB & Hanafusa, T","{Anti-CD3 antibody therapy, a promising clinical approach for the    treatment of type 1 diabetes (T1D), was investigated using a    mathematical model of T1D in the female nonobese diabetic (NOD) mouse.    Analyses of model simulation results indicate that, in addition to the    known direct effects of anti-CD3 antibody on T lymphocytes, two    additional mechanisms are required for sustained disease remission: (a)    rapid regrowth of healthy beta cells following clearance of islet    inflammation and (b) enhanced regulatory T cell activity and/or    phenotypic changes in antigen presenting cells (APCs) that promote a    stable regulatory environment in the pancreas.}"
ISI:000243192000001,"Mo, Frank; Morrison, Howard; Choi, Bernard C. K. & Vardy, Lianne",Evaluation and measurement of health-related quality of life for individuals with diabetes mellitus by health utilities index mark 3 (HUI3) system,{THESCIENTIFICWORLDJOURNAL},{6},,{NOV},{1412-1423},2006,,,,,,,,,"{The Health Utilities Index Mark 3 (HUI3) is an important indicator when    measuring the health-related quality of life (HRQOL) and assessing the    burden of disease, especially for chronic conditions such as diabetes    mellitus (DM). The objectives of this study were to evaluate the scores    of HRQOL for respondents with DM to examine associations between overall    HUI3 scores and eight component attributes, and various sociodemographic    and lifestyle attributes, and by doing so, provide information to    improve the HRQOL of individuals with diabetes. The study was based on    the Canadian National Population Survey (NPHS) longitudinal data, from    1994-1995 to 2002-2003. We evaluated overall HUI3 scores and eight    attributes (vision, hearing, speech, ambulation, dexterity, emotion,    cognition, and pain) between respondents with and without diabetes in    relation to demographic characteristics (age, sex, lifestyle, and    socioeconomic status using ANCOVA{[}analysis of covariance]). Awareness    of diabetes appeared to affect the HRQOL of older age groups more so    than younger age groups (p < 0.01). Diabetes also appeared to have a    greater impact on males' quality of life compared to females', and among    individuals with single marital status and low socioeconomic status (p <    0.01). These findings add to what is known about cognitive    representations and the self-regulation of diabetes as well as the    relationships between cognitive representations of diabetes, HRQOL, and    behavioral factors. In particular, results from this study suggest the    need to address ways of reducing the burden of diabetes associated with    health behaviours, and increasing the quality of life for the    individuals with diabetes in Canada.}"
ISI:000243680700009,"Hsu, Chih-Chin; Tsai, Wen-Chung; Shau, Yio-Wha; Lee, Kay-Lun & Hu, Ching-Fang",Altered energy dissipation ratio of the plantar soft tissues under the metatarsal heads in patients with type 2 diabetes mellitus: A pilot study,{CLINICAL BIOMECHANICS},{22},{1},{JAN},{67-73},2007,,,,,,,,,"{Background. Foot ulceration occurs frequently on the plantar aspect of    the metatarsal head region, in which the altered foot biomechanics has    been mentioned as a contributor. This study attempted to compare the    energy dissipation in the plantar soft tissue under the metatarsal head    between type 2 diabetic patients and age-matched healthy subjects in    vivo.    Methods. The plantar soft tissues under the metatarsal heads in each    left foot of 13 patients with type 2 diabetes mellitus and eight    age-matched healthy subjects were measured with a loading-unloading    device. The system comprised a 5-12 MHz linear-array ultrasound    transducer and a load cell that operated at an impact velocity of about    5 cm/s. The stress-strain plot was derived by simultaneously recording    the stress response and tissue deformation during a loading-unloading    cycle. The energy dissipation ratio in all subjects could then be    analyzed.    Findings. Although only the plantar soft tissue under the fourth    metatarsal head in the diabetic patients endured significantly greater    energy (P = 0.035) than the healthy subjects, a trend of an increased    energy dissipation ratio for the metatarsals in the diabetic patients    was observed.    Interpretation. The plantar soft tissue under the metatarsal head in the    diabetic patients endures high dissipated energy during a simulating    walking status in the study. The increased dissipated energy in the    tissue may be responsible for the tissue breakdown in the diabetic    patients. (c) 2006 Elsevier Ltd. All rights reserved.}"
ISI:000244105600009,"Liu, Xueliang; Suzuki, Hideaki; Sethi, Rajat; Tappia, Paramjit S.; Takeda, Nobuakira & Dhalla, Naranjan S.",Blockade of the renin-angiotensin system attenuates sarcolemma and sarcoplasmic reticulum remodeling in chronic diabetes,,{1084},,,{141-154},2006,,"{International Conference on Recent Advances in Diabetes Mellitus and Its Complications, Al Ain, U ARAB EMIRATES, MAR 06-09, 2006}",,"{DIABETES MELLITUS AND ITS COMPLICATIONS: MOLECULAR MECHANISMS, EPIDEMIOLOGY, AND CLINICAL MEDICINE}",,,{ANNALS OF THE NEW YORK ACADEMY OF SCIENCES},"Adeghate, E; Saadi, H; Adem, A & Obineche, E","{Although the defects in the sarcolemma (SL) and sarcoplasmic reticulum    (SR) membranes are known to be associated with cardiac dysfunction in    chronic diabetes, very little information regarding the mechanisms of    these membrane abnormalities is available in the literature. For this    reason, rats were treated daily for 8 weeks with and without enalapril,    an angiotensin-converting enzyme inhibitor, or losartan, an angiotensin    receptor antagonist, 3 days after inducing diabetes with an injection of    streptozocin. Treatment of diabetic animals with both enalapril and    losartan attenuated alterations in cardiac function and the left    ventricular redox potential without any changes in the increased plasma    glucose or reduced plasma insulin levels. The SL Na+-K+ ATPase, Ca2+    pump, Na+-dependent Ca2+-uptake, Ca2+-channel density, and low-affinity    Ca2+-binding activities were depressed whereas Ca2+ ecto-ATPase activity    was increased in the diabetic heart. Furthermore, the SR Ca2+-release    and Ca2+-pump activities in the diabetic hearts were decreased without    any changes in the Mg2+-ATPase activity. These alterations in SL and SR    membranes in diabetic animals were partly prevented by treatments with    enalapril and losartan. The results suggest that the activation of the    renin-angiotensin system plays an important role in diabetes-induced    changes in SL and SR membranes as well as cardiac function.}"
